attention,meditation,rawValue,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,poorSignal,blinkStrength
8,11,72,1070335,826091,133526,91824,72646,92482,9961,911331,0,0
8,11,-77,1070335,826091,133526,91824,72646,92482,9961,911331,0,0
8,11,96,1070335,826091,133526,91824,72646,92482,9961,911331,0,0
3,10,186,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,186,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,186,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,257,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,257,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,-65,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,-38,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
3,10,134,1610137,235616,98501,31211,20215,9277,2065,236513,0,0
11,37,107,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,60,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,169,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,-8,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,114,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,16,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,-13,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
11,37,108,1611977,311154,80614,132793,25447,23303,5727,876693,0,0
1,24,74,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,10,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,10,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,-33,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,19,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,59,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,-1,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,24,119,1251485,66716,6117,4613,7670,2630,1674,213324,0,0
1,21,17,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,0,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,60,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,154,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,-6,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,177,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,152,404893,91223,8056,14298,20243,8233,1706,203631,0,0
1,21,135,404893,91223,8056,14298,20243,8233,1706,203631,0,0
35,3,307,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,185,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,27,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,107,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,-39,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,58,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,-179,376918,533110,60721,46675,49656,131925,12458,864401,0,0
35,3,-295,376918,533110,60721,46675,49656,131925,12458,864401,0,0
63,1,-433,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,-227,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,186,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,461,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,-93,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,96,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,-35,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,17,375532,14634,3201,4319,5587,5292,473,67206,0,0
63,1,1,375532,14634,3201,4319,5587,5292,473,67206,0,0
90,4,341,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,208,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,-51,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,82,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,39,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,-25,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,139,760102,71386,27595,10956,16676,19334,4806,177199,0,0
90,4,-44,760102,71386,27595,10956,16676,19334,4806,177199,0,0
91,35,-201,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,-118,362941,24287,18326,13996,6640,4867,1392,89554,0,0
91,35,-163,362941,24287,18326,13996,6640,4867,1392,89554,0,0
